Gene_Name,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
UNKNOWN,XLOC_000700,XLOC_000700,-,chr1:171469102-171469722,MockIFN,T3D-IFN,OK,0,0.306153,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000752,XLOC_000752,-,chr1:178258536-178259370,MockIFN,T3D-IFN,OK,0,0.474306,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000810,XLOC_000810,-,chr1:184077994-184078480,MockIFN,T3D-IFN,OK,0,0.551961,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000814,XLOC_000814,-,chr1:184614910-184617756,MockIFN,T3D-IFN,OK,4.16583,7.32811,0.814837,3.89096,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000843,XLOC_000843,-,chr1:189035001-189038664,MockIFN,T3D-IFN,OK,0,0.460098,inf,#NAME?,0.00045,0.00239316,yes
UNKNOWN,XLOC_000852,XLOC_000852,-,chr1:191224453-191225689,MockIFN,T3D-IFN,OK,4.54444,11.5765,1.34902,4.74264,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000868,XLOC_000868,-,chr1:193752135-193788417,MockIFN,T3D-IFN,OK,0.941435,0.405448,-1.21534,-4.51648,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000884,XLOC_000884,-,chr1:7612283-7615635,MockIFN,T3D-IFN,OK,2.60979,0.431125,-2.59775,-8.67481,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_000911,XLOC_000911,-,chr1:15844534-15844761,MockIFN,T3D-IFN,OK,0,6.08647,inf,#NAME?,0.00025,0.00142372,yes
UNKNOWN,XLOC_000960,XLOC_000960,-,chr1:34797097-34800480,MockIFN,T3D-IFN,OK,0.276524,0.100032,-1.46694,-2.39512,0.00275,0.0114264,yes
UNKNOWN,XLOC_001012,XLOC_001012,-,chr1:44059458-44060087,MockIFN,T3D-IFN,OK,0,0.299438,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001013,XLOC_001013,-,chr1:44063063-44063441,MockIFN,T3D-IFN,OK,0,0.370741,inf,#NAME?,0.0011,0.00522608,yes
UNKNOWN,XLOC_001016,XLOC_001016,-,chr1:44070185-44071101,MockIFN,T3D-IFN,OK,0,0.249525,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001031,XLOC_001031,-,chr1:52108250-52113743,MockIFN,T3D-IFN,OK,0.200199,1.00855,2.33278,3.14014,0.00085,0.00419366,yes
UNKNOWN,XLOC_001091,XLOC_001091,-,chr1:64245143-64301471,MockIFN,T3D-IFN,OK,0.554135,1.63306,1.55927,3.11824,0.0001,0.00062999,yes
UNKNOWN,XLOC_001116,XLOC_001116,-,chr1:71727856-71730331,MockIFN,T3D-IFN,OK,0.29656,0.651077,1.1345,2.75723,0.00035,0.00191368,yes
UNKNOWN,XLOC_001118,XLOC_001118,-,chr1:71895497-71898940,MockIFN,T3D-IFN,OK,0.312619,0.0789352,-1.98567,-2.14258,0.0131,0.0420255,yes
UNKNOWN,XLOC_001173,XLOC_001173,-,chr1:81697455-81697638,MockIFN,T3D-IFN,OK,0,7.75091,inf,#NAME?,0.0001,0.00062999,yes
UNKNOWN,XLOC_001242,XLOC_001242,-,chr1:92686263-92688219,MockIFN,T3D-IFN,OK,0.0845079,0.284969,1.75364,1.9849,0.01485,0.0468175,yes
UNKNOWN,XLOC_001274,XLOC_001274,-,chr1:105956106-105956270,MockIFN,T3D-IFN,OK,0,12.8083,inf,#NAME?,0.0016,0.00714725,yes
UNKNOWN,XLOC_001281,XLOC_001281,-,chr1:106401105-106402647,MockIFN,T3D-IFN,OK,1.00205,0.341644,-1.55239,-2.47819,0.00315,0.0128436,yes
UNKNOWN,XLOC_001312,XLOC_001312,-,chr1:120426276-120430383,MockIFN,T3D-IFN,OK,0.152769,0.445676,1.54465,2.29912,0.00515,0.0194911,yes
UNKNOWN,XLOC_001365,XLOC_001365,-,chr1:133469876-133471121,MockIFN,T3D-IFN,OK,1.34579,4.09583,1.60571,5.7272,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001367,XLOC_001367,-,chr1:133612259-133612951,MockIFN,T3D-IFN,OK,0,0.235666,inf,#NAME?,0.0001,0.00062999,yes
UNKNOWN,XLOC_001460,XLOC_001460,-,chr1:155529436-155531214,MockIFN,T3D-IFN,OK,0.712792,0.39514,-0.851119,-2.03045,0.006,0.0221836,yes
UNKNOWN,XLOC_001464,XLOC_001464,-,chr1:156000647-156001421,MockIFN,T3D-IFN,OK,0,2.94035,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001468,XLOC_001468,-,chr1:156329904-156346739,MockIFN,T3D-IFN,OK,1.4295,4.37146,1.61261,5.09478,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001469,XLOC_001469,-,chr1:156348971-156349145,MockIFN,T3D-IFN,OK,0,9.72426,inf,#NAME?,0.00135,0.00620204,yes
UNKNOWN,XLOC_001479,XLOC_001479,-,chr1:159386059-159393113,MockIFN,T3D-IFN,OK,0.839686,0.28765,-1.54554,-4.84799,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001490,XLOC_001490,-,chr1:161606629-161614286,MockIFN,T3D-IFN,OK,0.642908,0.155361,-2.04899,-2.37014,0.008,0.0280854,yes
UNKNOWN,XLOC_001568,XLOC_001568,-,chr1:171321905-171324652,MockIFN,T3D-IFN,OK,0.33021,0.15101,-1.12874,-2.28325,0.0032,0.0130005,yes
UNKNOWN,XLOC_001597,XLOC_001597,-,chr1:173657547-173658009,MockIFN,T3D-IFN,OK,0,0.416794,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001622,XLOC_001622,-,chr1:178313356-178315447,MockIFN,T3D-IFN,OK,0.646525,1.08791,0.750775,1.94508,0.0071,0.0254746,yes
UNKNOWN,XLOC_001642,XLOC_001642,-,chr1:181087156-181090382,MockIFN,T3D-IFN,OK,1.07968,0.702138,-0.620778,-2.05803,0.0045,0.0174323,yes
UNKNOWN,XLOC_001670,XLOC_001670,-,chr1:184665004-184666866,MockIFN,T3D-IFN,OK,0.306372,0.696638,1.18513,2.14986,0.007,0.0251808,yes
UNKNOWN,XLOC_001748,XLOC_001748,-,chr10:7212320-7216458,MockIFN,T3D-IFN,OK,0.724986,1.75185,1.27285,2.32038,0.0026,0.0108933,yes
UNKNOWN,XLOC_001765,XLOC_001765,-,chr10:11300763-11304906,MockIFN,T3D-IFN,OK,0.135983,0.26195,0.945865,1.92328,0.0122,0.0396374,yes
UNKNOWN,XLOC_001766,XLOC_001766,-,chr10:11313425-11314194,MockIFN,T3D-IFN,OK,0,0.262776,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001768,XLOC_001768,-,chr10:11329659-11329997,MockIFN,T3D-IFN,OK,0,0.44006,inf,#NAME?,0.00115,0.00542091,yes
UNKNOWN,XLOC_001782,XLOC_001782,-,chr10:18235834-18236092,MockIFN,T3D-IFN,OK,0,2.74571,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001801,XLOC_001801,-,chr10:21785996-21786700,MockIFN,T3D-IFN,OK,0,0.317907,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001869,XLOC_001869,-,chr10:42709485-42710003,MockIFN,T3D-IFN,OK,0,0.211705,inf,#NAME?,0.00085,0.00419366,yes
UNKNOWN,XLOC_001875,XLOC_001875,-,chr10:43521815-43522618,MockIFN,T3D-IFN,OK,0,0.174968,inf,#NAME?,0.00035,0.00191368,yes
UNKNOWN,XLOC_001921,XLOC_001921,-,chr10:58496980-58497606,MockIFN,T3D-IFN,OK,0,0.552002,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_001944,XLOC_001944,-,chr10:61284871-61287953,MockIFN,T3D-IFN,OK,2.31191,1.12597,-1.03792,-3.56847,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002005,XLOC_002005,-,chr10:75933118-75933479,MockIFN,T3D-IFN,OK,0.822839,0,#NAME?,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002186,XLOC_002186,-,chr10:88745853-88746225,MockIFN,T3D-IFN,OK,0,2.18277,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002192,XLOC_002192,-,chr10:91228307-91228836,MockIFN,T3D-IFN,OK,0,0.280232,inf,#NAME?,0.00035,0.00191368,yes
UNKNOWN,XLOC_002198,XLOC_002198,-,chr10:93119113-93126349,MockIFN,T3D-IFN,OK,0.388716,2.52734,2.70083,3.5075,0.00025,0.00142372,yes
UNKNOWN,XLOC_002253,XLOC_002253,-,chr10:103566171-103568255,MockIFN,T3D-IFN,OK,12.4158,16.6946,0.427207,2.16587,0.0022,0.00945838,yes
UNKNOWN,XLOC_002254,XLOC_002254,-,chr10:103575574-103595434,MockIFN,T3D-IFN,OK,0.226896,0.364366,0.683356,3.00375,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002317,XLOC_002317,-,chr10:120614882-120615476,MockIFN,T3D-IFN,OK,23.7405,17.6213,-0.430031,-1.97652,0.0053,0.0199337,yes
UNKNOWN,XLOC_002318,XLOC_002318,-,chr10:120700087-120702621,MockIFN,T3D-IFN,OK,0.343865,0.116713,-1.55887,-2.46773,0.00325,0.0131682,yes
UNKNOWN,XLOC_002334,XLOC_002334,-,chr10:126957975-126962742,MockIFN,T3D-IFN,OK,0.555238,0.133577,-2.05544,-4.08372,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002365,XLOC_002365,-,chr10:128055637-128056307,MockIFN,T3D-IFN,OK,0,0.784392,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002371,XLOC_002371,-,chr10:128194634-128214328,MockIFN,T3D-IFN,OK,1.35833,5.62546,2.05013,2.46417,0.0044,0.0170999,yes
UNKNOWN,XLOC_002372,XLOC_002372,-,chr10:128214504-128215099,MockIFN,T3D-IFN,OK,0.22285,0.987993,2.14843,2.35851,0.0088,0.0303346,yes
UNKNOWN,XLOC_002373,XLOC_002373,-,chr10:128216894-128218120,MockIFN,T3D-IFN,OK,0.13096,0.38786,1.56641,1.86009,0.0149,0.0469506,yes
UNKNOWN,XLOC_002385,XLOC_002385,-,chr10:128446292-128447512,MockIFN,T3D-IFN,OK,0.953194,2.24122,1.23344,3.64711,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002514,XLOC_002514,-,chr10:27827614-27934765,MockIFN,T3D-IFN,OK,1.08234,1.95495,0.85298,1.89693,0.00985,0.0332693,yes
UNKNOWN,XLOC_002527,XLOC_002527,-,chr10:31493192-31495188,MockIFN,T3D-IFN,OK,0.774713,0.411551,-0.912591,-2.24436,0.0052,0.0196434,yes
UNKNOWN,XLOC_002528,XLOC_002528,-,chr10:31495366-31496266,MockIFN,T3D-IFN,OK,1.56191,0.775562,-1.01,-1.8825,0.01555,0.048626,yes
UNKNOWN,XLOC_002601,XLOC_002601,-,chr10:58322707-58323062,MockIFN,T3D-IFN,OK,0,0.67515,inf,#NAME?,0.00035,0.00191368,yes
UNKNOWN,XLOC_002635,XLOC_002635,-,chr10:62736340-62738185,MockIFN,T3D-IFN,OK,0,0.805521,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002636,XLOC_002636,-,chr10:62738283-62738681,MockIFN,T3D-IFN,OK,0,1.1415,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002657,XLOC_002657,-,chr10:69326528-69330439,MockIFN,T3D-IFN,OK,0.0282604,0.506306,4.16316,4.414,0.00085,0.00419366,yes
UNKNOWN,XLOC_002667,XLOC_002667,-,chr10:71296359-71296674,MockIFN,T3D-IFN,OK,0,0.423469,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002678,XLOC_002678,-,chr10:73278605-73327046,MockIFN,T3D-IFN,OK,4.94338,6.30273,0.350479,1.82408,0.01305,0.0418948,yes
UNKNOWN,XLOC_002679,XLOC_002679,-,chr10:74863393-74863510,MockIFN,T3D-IFN,OK,13696.7,6238.61,-1.13453,-4.4616,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002850,XLOC_002850,-,chr10:90985799-90986440,MockIFN,T3D-IFN,OK,0,0.914105,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002865,XLOC_002865,-,chr10:93398426-93399813,MockIFN,T3D-IFN,OK,0.194972,0.553797,1.50609,2.34369,0.0041,0.0161105,yes
UNKNOWN,XLOC_002882,XLOC_002882,-,chr10:95443001-95445763,MockIFN,T3D-IFN,OK,2.13901,0.653727,-1.71018,-5.91026,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002890,XLOC_002890,-,chr10:99051613-99052652,MockIFN,T3D-IFN,OK,0.112491,0.565872,2.33066,2.26627,0.01185,0.038667,yes
UNKNOWN,XLOC_002894,XLOC_002894,-,chr10:99708363-99708894,MockIFN,T3D-IFN,OK,0,0.357823,inf,#NAME?,0.0002,0.00116766,yes
UNKNOWN,XLOC_002927,XLOC_002927,-,chr10:115284721-115285583,MockIFN,T3D-IFN,OK,0,0.380011,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_002996,XLOC_002996,-,chr10:126962881-126963962,MockIFN,T3D-IFN,OK,1.13971,0.433735,-1.39378,-2.17674,0.0085,0.0294746,yes
UNKNOWN,XLOC_003128,XLOC_003128,-,chr11:5856070-5861580,MockIFN,T3D-IFN,OK,1.91484,0.654301,-1.5492,-3.22265,0.00015,0.000903447,yes
UNKNOWN,XLOC_003135,XLOC_003135,-,chr11:6476154-6476789,MockIFN,T3D-IFN,OK,1.84773,0.5846,-1.66024,-2.35421,0.0049,0.0187331,yes
UNKNOWN,XLOC_003136,XLOC_003136,-,chr11:6476897-6479693,MockIFN,T3D-IFN,OK,0.532335,0.122674,-2.11751,-3.96456,0.0001,0.00062999,yes
UNKNOWN,XLOC_003152,XLOC_003152,-,chr11:12867865-12872877,MockIFN,T3D-IFN,OK,0.450507,1.89332,2.0713,6.73849,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003165,XLOC_003165,-,chr11:20113080-20114401,MockIFN,T3D-IFN,OK,0.420547,0.806545,0.939488,1.7714,0.0145,0.0458179,yes
UNKNOWN,XLOC_003166,XLOC_003166,-,chr11:20115005-20117129,MockIFN,T3D-IFN,OK,0.348607,0.856478,1.29682,2.96792,0.0006,0.00309179,yes
UNKNOWN,XLOC_003168,XLOC_003168,-,chr11:20459418-20462514,MockIFN,T3D-IFN,OK,0.708494,0.46004,-0.622998,-1.85464,0.0098,0.0331437,yes
UNKNOWN,XLOC_003175,XLOC_003175,-,chr11:22733793-22738141,MockIFN,T3D-IFN,OK,11.8055,15.886,0.428293,2.12312,0.00165,0.00734339,yes
UNKNOWN,XLOC_003327,XLOC_003327,-,chr11:52648234-52663947,MockIFN,T3D-IFN,OK,0.673833,0.273209,-1.30239,-1.94523,0.00795,0.0279641,yes
UNKNOWN,XLOC_003336,XLOC_003336,-,chr11:53548288-53549479,MockIFN,T3D-IFN,OK,1.67787,2.7406,0.707863,2.31395,0.00195,0.00851513,yes
UNKNOWN,XLOC_003361,XLOC_003361,-,chr11:57812881-57814520,MockIFN,T3D-IFN,OK,0.823716,0.330181,-1.31889,-2.41826,0.00365,0.0145189,yes
UNKNOWN,XLOC_003406,XLOC_003406,-,chr11:59596383-59604278,MockIFN,T3D-IFN,OK,0.2217,0.692141,1.64246,2.87325,0.00135,0.00620204,yes
UNKNOWN,XLOC_003430,XLOC_003430,-,chr11:61407177-61409495,MockIFN,T3D-IFN,OK,0.476275,1.18273,1.31226,2.75646,0.001,0.00482063,yes
UNKNOWN,XLOC_003438,XLOC_003438,-,chr11:62224224-62228972,MockIFN,T3D-IFN,OK,2.31479,1.05249,-1.13707,-3.3073,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003440,XLOC_003440,-,chr11:62247846-62248209,MockIFN,T3D-IFN,OK,0,9.49007,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003636,XLOC_003636,-,chr11:77868039-77868611,MockIFN,T3D-IFN,OK,0.424385,0,#NAME?,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003649,XLOC_003649,-,chr11:78257561-78258429,MockIFN,T3D-IFN,OK,0,0.352435,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003674,XLOC_003674,-,chr11:79716092-79721802,MockIFN,T3D-IFN,OK,0.668683,0.454853,-0.555922,-1.90336,0.008,0.0280854,yes
UNKNOWN,XLOC_003685,XLOC_003685,-,chr11:80271150-80272816,MockIFN,T3D-IFN,OK,0,0.167512,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003690,XLOC_003690,-,chr11:80412074-80416977,MockIFN,T3D-IFN,OK,0.0635584,0.726676,3.51516,6.42937,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003691,XLOC_003691,-,chr11:80420033-80420700,MockIFN,T3D-IFN,OK,0,0.285971,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003770,XLOC_003770,-,chr11:88061974-88062535,MockIFN,T3D-IFN,OK,0,0.292695,inf,#NAME?,0.0001,0.00062999,yes
UNKNOWN,XLOC_003771,XLOC_003771,-,chr11:88063439-88063852,MockIFN,T3D-IFN,OK,0,0.426573,inf,#NAME?,0.00035,0.00191368,yes
UNKNOWN,XLOC_003843,XLOC_003843,-,chr11:96404945-96405332,MockIFN,T3D-IFN,OK,0,0.556403,inf,#NAME?,0.00035,0.00191368,yes
UNKNOWN,XLOC_003863,XLOC_003863,-,chr11:97312101-97312754,MockIFN,T3D-IFN,OK,0.621062,1.76776,1.50911,2.21903,0.0065,0.0236313,yes
UNKNOWN,XLOC_003879,XLOC_003879,-,chr11:97766699-97767097,MockIFN,T3D-IFN,OK,0,0.676611,inf,#NAME?,0.00055,0.00286434,yes
UNKNOWN,XLOC_003885,XLOC_003885,-,chr11:98284206-98285120,MockIFN,T3D-IFN,OK,0,0.191229,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_003902,XLOC_003902,-,chr11:98783022-98784619,MockIFN,T3D-IFN,OK,0.090111,0.3589,1.99381,2.19545,0.0143,0.0453046,yes
UNKNOWN,XLOC_004054,XLOC_004054,-,chr11:115413432-115414596,MockIFN,T3D-IFN,OK,0.919989,0.364124,-1.33719,-2.13215,0.00685,0.02471,yes
UNKNOWN,XLOC_004084,XLOC_004084,-,chr11:116695437-116697867,MockIFN,T3D-IFN,OK,0.114054,0.410028,1.84601,2.50105,0.00415,0.0162716,yes
UNKNOWN,XLOC_004095,XLOC_004095,-,chr11:117523485-117532254,MockIFN,T3D-IFN,OK,2.21298,0.719903,-1.62012,-2.40765,0.0023,0.00981366,yes
UNKNOWN,XLOC_004126,XLOC_004126,-,chr11:119928291-119929059,MockIFN,T3D-IFN,OK,1.72043,0.70526,-1.28654,-2.56245,0.00145,0.00657957,yes
UNKNOWN,XLOC_004181,XLOC_004181,-,chr11:4316750-4319742,MockIFN,T3D-IFN,OK,1.18738,0.562681,-1.07739,-3.33745,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004183,XLOC_004183,-,chr11:4474083-4474453,MockIFN,T3D-IFN,OK,0,0.638247,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004207,XLOC_004207,-,chr11:6097083-6101496,MockIFN,T3D-IFN,OK,0.530021,0.189064,-1.48717,-3.644,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004253,XLOC_004253,-,chr11:20894494-20898731,MockIFN,T3D-IFN,OK,1.25088,0.302222,-2.04927,-4.32878,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004264,XLOC_004264,-,chr11:23304661-23305506,MockIFN,T3D-IFN,OK,0.177018,0.994789,2.4905,2.50471,0.00965,0.0327282,yes
UNKNOWN,XLOC_004317,XLOC_004317,-,chr11:40425452-40429057,MockIFN,T3D-IFN,OK,0.70412,3.48553,2.30749,3.10854,0.0016,0.00714725,yes
UNKNOWN,XLOC_004369,XLOC_004369,-,chr11:50564408-50566132,MockIFN,T3D-IFN,OK,0.468916,0.120873,-1.95583,-2.70925,0.003,0.0123264,yes
UNKNOWN,XLOC_004514,XLOC_004514,-,chr11:62919125-62921837,MockIFN,T3D-IFN,OK,0.284418,0.790338,1.47446,2.57597,0.0026,0.0108933,yes
UNKNOWN,XLOC_004679,XLOC_004679,-,chr11:76622176-76624049,MockIFN,T3D-IFN,OK,7.74537,4.90404,-0.659361,-2.53089,0.0009,0.00441027,yes
UNKNOWN,XLOC_004731,XLOC_004731,-,chr11:79745840-79806706,MockIFN,T3D-IFN,OK,7.81078,4.43108,-0.817808,-3.45291,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004733,XLOC_004733,-,chr11:79919223-79921345,MockIFN,T3D-IFN,OK,0.0815733,0.314176,1.9454,2.2345,0.00715,0.0256388,yes
UNKNOWN,XLOC_004741,XLOC_004741,-,chr11:80357416-80358384,MockIFN,T3D-IFN,OK,0,0.219693,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004747,XLOC_004747,-,chr11:81980561-81983704,MockIFN,T3D-IFN,OK,0.508896,0.0570464,-3.15716,-2.57041,0.0116,0.0379676,yes
UNKNOWN,XLOC_004750,XLOC_004750,-,chr11:82068254-82071174,MockIFN,T3D-IFN,OK,0.279012,0,#NAME?,#NAME?,0.0001,0.00062999,yes
UNKNOWN,XLOC_004795,XLOC_004795,-,chr11:86576034-86577364,MockIFN,T3D-IFN,OK,1.29786,0.619216,-1.06762,-2.57509,0.00105,0.00502018,yes
UNKNOWN,XLOC_004852,XLOC_004852,-,chr11:95088464-95099274,MockIFN,T3D-IFN,OK,0.40391,0.223048,-0.85668,-2.05519,0.00505,0.0191728,yes
UNKNOWN,XLOC_004853,XLOC_004853,-,chr11:95099440-95105750,MockIFN,T3D-IFN,OK,0.975538,0.358357,-1.4448,-3.54115,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004883,XLOC_004883,-,chr11:97196081-97202449,MockIFN,T3D-IFN,OK,0.0203902,0.641639,4.97581,5.65032,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004885,XLOC_004885,-,chr11:97301466-97301729,MockIFN,T3D-IFN,OK,0,1.30886,inf,#NAME?,0.0003,0.00167472,yes
UNKNOWN,XLOC_004899,XLOC_004899,-,chr11:97798806-97799024,MockIFN,T3D-IFN,OK,0,4.18764,inf,#NAME?,5.00E-05,0.000330779,yes
UNKNOWN,XLOC_004994,XLOC_004994,-,chr11:100858761-100859006,MockIFN,T3D-IFN,OK,1.72203,0,#NAME?,#NAME?,0.00045,0.00239316,yes
UNKNOWN,XLOC_005067,XLOC_005067,-,chr11:105291520-105292353,MockIFN,T3D-IFN,OK,1.45549,0.563595,-1.36877,-2.27639,0.006,0.0221836,yes
