Gene_Name,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
1110034G24Rik,XLOC_015771,XLOC_015771,NM_028637,chr2:132690192-132751056,MockIFN,T1L-IFN,OK,1.51416,0.868353,-0.80216,-1.83157,0.0102,0.024922,yes
1110037F02Rik,XLOC_019109,XLOC_019109,NM_001081183,chr4:11485945-11551143,MockIFN,T1L-IFN,OK,8.81325,5.34907,-0.720386,-3.73187,5.00E-05,0.00020697,yes
1110051M20Rik,XLOC_015485,XLOC_015485,NM_175123,chr2:91277827-91444727,MockIFN,T1L-IFN,OK,0.435507,1.25539,1.52736,2.41689,0.002,0.00601726,yes
1110051M20Rik,XLOC_015486,XLOC_015486,NM_175123,chr2:91277827-91444727,MockIFN,T1L-IFN,OK,0.13,1.14349,3.13686,3.05526,0.00265,0.00771238,yes
1110059G10Rik,XLOC_030477,XLOC_030477,NM_025419,chr9:122945088-122951000,MockIFN,T1L-IFN,OK,6.02217,4.72564,-0.349773,-1.69542,0.0149,0.0347953,yes
1190005I06Rik,XLOC_028705,XLOC_028705,NM_197988,chr8:120608601-120634382,MockIFN,T1L-IFN,OK,7.59401,5.33156,-0.510303,-1.73621,0.0132,0.0313246,yes
1500004A13Rik,XLOC_018600,XLOC_018600,NR_015498,chr3:88777056-88832487,MockIFN,T1L-IFN,OK,1.10839,0.464042,-1.25614,-2.70763,0.00035,0.00125374,yes
1500011K16Rik,XLOC_017044,XLOC_017044,NR_015476,chr2:127791376-127792488,MockIFN,T1L-IFN,OK,52.1942,80.1261,0.618382,3.11942,5.00E-05,0.00020697,yes
1500015A07Rik,XLOC_013405,XLOC_013405,NR_029432,chr18:61726389-61728253,MockIFN,T1L-IFN,OK,4.42549,5.8614,0.40541,1.78476,0.0122,0.0292225,yes
1600002H07Rik,XLOC_012458,XLOC_012458,NM_028056,chr17:24215055-24220769,MockIFN,T1L-IFN,OK,7.07538,2.68193,-1.39953,-6.02141,5.00E-05,0.00020697,yes
1700001G17Rik,XLOC_000074,XLOC_000074,NR_033199,chr1:33669823-33670712,MockIFN,T1L-IFN,OK,2.86859,0.631879,-2.18262,-3.58124,0.00015,0.000579177,yes
1700001L05Rik,XLOC_010294,XLOC_010294,NR_027980,chr15:83353809-83368494,MockIFN,T1L-IFN,OK,0.188417,0.313466,0.734381,1.96331,0.00755,0.0191051,yes
1700001P01Rik,XLOC_005277,XLOC_005277,NM_028156,chr11:97770815-97775918,MockIFN,T1L-IFN,OK,0.149038,0.577033,1.95297,2.05806,0.01115,0.0269855,yes
1700010I02Rik,XLOC_018295,XLOC_018295,NR_040587,chr3:7925302-7954887,MockIFN,T1L-IFN,OK,0,0.166369,inf,#NAME?,0.0101,0.0247165,yes
1700012B09Rik,XLOC_029746,XLOC_029746,NM_029306,chr9:14758193-14771468,MockIFN,T1L-IFN,OK,35.2207,55.2594,0.649797,3.21059,5.00E-05,0.00020697,yes
1700012I11Rik,XLOC_010088,XLOC_010088,NR_045140,chr15:67226768-67425663,MockIFN,T1L-IFN,OK,0.306432,2.56061,3.06285,6.02718,5.00E-05,0.00020697,yes
1700017B05Rik,XLOC_030076,XLOC_030076,NM_028820,chr9:57252321-57262606,MockIFN,T1L-IFN,OK,10.081,4.08238,-1.30415,-6.23897,5.00E-05,0.00020697,yes
1700017G19Rik,XLOC_017595,XLOC_017595,NR_040445,chr3:40504864-40522912,MockIFN,T1L-IFN,OK,0.0890914,0.651827,2.87113,3.93056,0.0002,0.000754234,yes
1700018A04Rik,XLOC_007012,XLOC_007012,NR_029439,chr13:31564624-31582691,MockIFN,T1L-IFN,OK,0.929284,0.244272,-1.92763,-2.32107,0.00895,0.0222168,yes
1700018A04Rik,XLOC_007013,XLOC_007013,NR_029439,chr13:31564624-31582691,MockIFN,T1L-IFN,OK,0.149569,0.468165,1.6462,2.94957,0.0005,0.00171017,yes
1700019E08Rik,XLOC_015219,XLOC_015219,NR_040497,chr2:45696604-45698447,MockIFN,T1L-IFN,OK,22.871,29.6867,0.376298,1.73305,0.014,0.0329524,yes
1700021F05Rik,XLOC_002827,XLOC_002827,NM_026411,chr10:43525120-43541010,MockIFN,T1L-IFN,OK,24.2643,13.5776,-0.837609,-4.01798,5.00E-05,0.00020697,yes
1700025F24Rik,XLOC_002543,XLOC_002543,NR_040578,chr10:119405826-119426864,MockIFN,T1L-IFN,OK,6.30475,13.2582,1.07237,3.15996,5.00E-05,0.00020697,yes
1700028E10Rik,XLOC_022919,XLOC_022919,NR_045699,chr5:151291765-151414083,MockIFN,T1L-IFN,OK,0.582436,3.06588,2.39613,1.93382,0.0192,0.0434471,yes
1700029J07Rik,XLOC_028296,XLOC_028296,NM_001033148,chr8:45953605-45975461,MockIFN,T1L-IFN,OK,0.959709,2.02266,1.07559,3.02599,5.00E-05,0.00020697,yes
1700030K09Rik,XLOC_027660,XLOC_027660,NM_028170,chr8:72443879-72475233,MockIFN,T1L-IFN,OK,2.30014,1.00974,-1.18774,-1.7768,0.01735,0.0397051,yes
1700031A10Rik,XLOC_011990,XLOC_011990,NR_045439,chr17:36923791-36939706,MockIFN,T1L-IFN,OK,0.636011,3.00399,2.23976,3.6957,5.00E-05,0.00020697,yes
1700065J11Rik,XLOC_023059,XLOC_023059,NR_040526,chr6:35329721-35336829,MockIFN,T1L-IFN,OK,2.19188,3.69416,0.753078,1.88048,0.00675,0.0172687,yes
1700066M21Rik,XLOC_000179,XLOC_000179,NM_028546,chr1:57377577-57385471,MockIFN,T1L-IFN,OK,8.76418,6.75428,-0.375818,-1.86921,0.0069,0.0176168,yes
1700084E18Rik,XLOC_016378,XLOC_016378,NR_028299,chr2:30237197-30237631,MockIFN,T1L-IFN,OK,2.42259,9.79804,2.01594,4.11027,5.00E-05,0.00020697,yes
1700092M07Rik,XLOC_014015,XLOC_014015,NM_001177347,chr19:8740717-8741225,MockIFN,T1L-IFN,OK,0.354219,0,#NAME?,#NAME?,0.0038,0.0104829,yes
1700096K18Rik,XLOC_021133,XLOC_021133,NR_027388,chr5:25530017-25531466,MockIFN,T1L-IFN,OK,4.48024,8.01174,0.838538,3.47375,5.00E-05,0.00020697,yes
1700112E06Rik,XLOC_008203,XLOC_008203,NM_028275,chr14:22019711-23094571,MockIFN,T1L-IFN,OK,8.70577,11.2812,0.373879,1.6084,0.0201,0.0451552,yes
1700120G07Rik,XLOC_027138,XLOC_027138,NR_046050,chr7:135191257-135196946,MockIFN,T1L-IFN,OK,0.0546874,0.352,2.68629,2.17522,0.0098,0.0240755,yes
1700123I01Rik,XLOC_013974,XLOC_013974,NM_001165919,chr19:6184150-6224219,MockIFN,T1L-IFN,OK,1.70688,0.623331,-1.45329,-2.98814,0.0006,0.00200771,yes
1700123M08Rik,XLOC_019113,XLOC_019113,NR_040577,chr4:11966573-11995085,MockIFN,T1L-IFN,OK,3.36922,7.08222,1.07178,4.06652,5.00E-05,0.00020697,yes
1810008I18Rik,XLOC_025180,XLOC_025180,NR_045301,chr7:65802988-65808448,MockIFN,T1L-IFN,OK,1.99734,5.6462,1.4992,3.71309,5.00E-05,0.00020697,yes
1810010H24Rik,XLOC_004340,XLOC_004340,NM_001163473,chr11:107025611-107030442,MockIFN,T1L-IFN,OK,1.36234,2.99318,1.13559,3.06684,5.00E-05,0.00020697,yes
1810011O10Rik,XLOC_028198,XLOC_028198,NM_026931,chr8:24437615-24438946,MockIFN,T1L-IFN,OK,3.12422,14.4558,2.21008,9.13551,5.00E-05,0.00020697,yes
1810013L24Rik,XLOC_010602,XLOC_010602,NM_001081400,chr16:8830099-8858924,MockIFN,T1L-IFN,OK,11.2188,33.6138,1.58313,8.17435,5.00E-05,0.00020697,yes
1810014B01Rik,XLOC_002389,XLOC_002389,NR_015572,chr10:86685467-86689962,MockIFN,T1L-IFN,OK,7.37064,10.6469,0.530565,2.47563,0.0008,0.00260748,yes
1810026J23Rik,XLOC_028920,XLOC_028920,NM_178619,chr9:21546730-21595970,MockIFN,T1L-IFN,OK,15.6717,8.29889,-0.917171,-2.37588,0.0011,0.00349734,yes
1810030O07Rik,XLOC_031162,XLOC_031162,NM_175141,chrX:12654883-12673546,MockIFN,T1L-IFN,OK,5.31085,3.88806,-0.449891,-2.09046,0.00325,0.00920424,yes
1810043G02Rik,XLOC_002988,XLOC_002988,NM_026431,chr10:77978649-77985438,MockIFN,T1L-IFN,OK,0.718492,2.8018,1.96331,3.44097,5.00E-05,0.00020697,yes
1810044D09Rik,XLOC_023414,XLOC_023414,NR_038153,chr6:91440986-91441755,MockIFN,T1L-IFN,OK,8.73575,15.4877,0.826124,2.74473,0.00015,0.000579177,yes
1810055G02Rik,XLOC_013881,XLOC_013881,NM_028077,chr19:3708332-3717881,MockIFN,T1L-IFN,OK,72.2451,34.996,-1.04571,-5.42325,5.00E-05,0.00020697,yes
2010003K11Rik,XLOC_014419,XLOC_014419,NM_027237,chr19:4496787-4498583,MockIFN,T1L-IFN,OK,0.641354,0.155008,-2.04878,-2.14272,0.01675,0.0385063,yes
2010005H15Rik,XLOC_010827,XLOC_010827,NM_029733,chr16:36221433-36257445,MockIFN,T1L-IFN,OK,6.65683,1.93457,-1.78282,-4.66535,5.00E-05,0.00020697,yes
2010320M18Rik,XLOC_027622,XLOC_027622,NR_029440,chr8:70776861-70777606,MockIFN,T1L-IFN,OK,6.96032,4.54053,-0.616292,-2.17699,0.00275,0.00795647,yes
2210010C04Rik,XLOC_023096,XLOC_023096,NM_023333,chr6:41030267-41036971,MockIFN,T1L-IFN,OK,0.658275,1.6709,1.34386,2.27322,0.00495,0.0130927,yes
2210013O21Rik,XLOC_031058,XLOC_031058,NM_027327,chrX:153723553-153741296,MockIFN,T1L-IFN,OK,38.0395,52.2281,0.457327,2.24851,0.0012,0.00378257,yes
2310015A10Rik,XLOC_006590,XLOC_006590,NR_033514,chr12:80120545-80132844,MockIFN,T1L-IFN,OK,3.21475,1.68386,-0.932931,-4.24879,5.00E-05,0.00020697,yes
2310033P09Rik,XLOC_003704,XLOC_003704,NM_024210,chr11:59208360-59210734,MockIFN,T1L-IFN,OK,7.30582,4.09338,-0.835754,-3.52032,5.00E-05,0.00020697,yes
2310043L19Rik,XLOC_001793,XLOC_001793,NR_037994,chr1:177641541-177653292,MockIFN,T1L-IFN,OK,2.80753,1.15285,-1.2841,-2.56936,5.00E-05,0.00020697,yes
2310069B03Rik,XLOC_024090,XLOC_024090,NR_040520,chr6:82877865-82881885,MockIFN,T1L-IFN,OK,0.3374,2.78857,3.04699,7.49285,5.00E-05,0.00020697,yes
2310069G16Rik,XLOC_009408,XLOC_009408,NR_040309,chr15:44671855-44805829,MockIFN,T1L-IFN,OK,0.179402,1.22333,2.76955,2.40257,0.02075,0.0464092,yes
2410003L11Rik,XLOC_004189,XLOC_004189,NR_045496,chr11:97598458-97624382,MockIFN,T1L-IFN,OK,14.4192,19.8526,0.461338,1.73764,0.01485,0.0346906,yes
2410004B18Rik,XLOC_018243,XLOC_018243,NM_025555,chr3:145938022-145944275,MockIFN,T1L-IFN,OK,20.6156,28.5443,0.46947,2.29428,0.0014,0.00434994,yes
2410006H16Rik,XLOC_003748,XLOC_003748,NR_030738,chr11:62602876-62604806,MockIFN,T1L-IFN,OK,157.036,576.23,1.87555,9.64629,5.00E-05,0.00020697,yes
2410012E07Rik,XLOC_008535,XLOC_008535,NR_045939,chr14:70852917-70873954,MockIFN,T1L-IFN,OK,1.92055,3.47302,0.854675,2.4484,0.00205,0.00615122,yes
2410131K14Rik,XLOC_021674,XLOC_021674,NM_001081236,chr5:118245224-118266082,MockIFN,T1L-IFN,OK,5.82532,4.11201,-0.502492,-2.1396,0.00205,0.00615122,yes
2500004C02Rik,XLOC_017197,XLOC_017197,NR_040318,chr2:153341156-153345810,MockIFN,T1L-IFN,OK,1.42851,4.02431,1.49423,5.48656,5.00E-05,0.00020697,yes
2510002D24Rik,XLOC_010696,XLOC_010696,NM_001033164,chr16:18836579-18840308,MockIFN,T1L-IFN,OK,4.86036,7.34885,0.596457,2.486,0.00045,0.00156509,yes
2510039O18Rik,XLOC_019914,XLOC_019914,NM_029841,chr4:147940876-147947319,MockIFN,T1L-IFN,OK,37.1048,27.6082,-0.426507,-1.91953,0.0059,0.0153111,yes
2610002M06Rik,XLOC_031507,XLOC_031507,NM_025921,chrX:107782751-107872911,MockIFN,T1L-IFN,OK,9.03849,6.24424,-0.533556,-2.75137,5.00E-05,0.00020697,yes
2610005L07Rik,XLOC_028160,XLOC_028160,NR_028428,chr8:20385781-20580681,MockIFN,T1L-IFN,OK,4.98382,10.5579,1.083,5.38965,5.00E-05,0.00020697,yes
2610008E11Rik,XLOC_003011,XLOC_003011,NM_001004362,chr10:79064373-79097600,MockIFN,T1L-IFN,OK,1.54178,2.29226,0.572176,2.62238,0.00035,0.00125374,yes
2610035D17Rik,XLOC_005517,XLOC_005517,NR_015556,chr11:113043905-113201879,MockIFN,T1L-IFN,OK,2.67071,1.85755,-0.523823,-1.87534,0.0072,0.0183088,yes
2610037D02Rik,XLOC_010381,XLOC_010381,NR_040423,chr15:96182530-96203470,MockIFN,T1L-IFN,OK,0.144003,0.39694,1.46282,1.9795,0.00915,0.0226521,yes
2610044O15Rik8,XLOC_028794,XLOC_028794,NM_153780,chr8:129216353-129234464,MockIFN,T1L-IFN,OK,5.63566,7.57049,0.425803,1.82747,0.0107,0.0260273,yes
2610301B20Rik,XLOC_019104,XLOC_019104,NM_026005,chr4:10874497-10899423,MockIFN,T1L-IFN,OK,11.7388,30.3487,1.37034,6.941,5.00E-05,0.00020697,yes
2610507B11Rik,XLOC_003963,XLOC_003963,NM_001002004,chr11:78261753-78290625,MockIFN,T1L-IFN,OK,49.9154,26.8632,-0.893851,-4.72557,5.00E-05,0.00020697,yes
2700097O09Rik,XLOC_006477,XLOC_006477,NM_028314,chr12:55045660-55080110,MockIFN,T1L-IFN,OK,10.9195,14.9989,0.457955,2.1073,0.00285,0.00818025,yes
2700099C18Rik,XLOC_012300,XLOC_012300,NR_024720,chr17:94722588-94834811,MockIFN,T1L-IFN,OK,5.36682,11.2492,1.06768,2.43353,0.00195,0.00587732,yes
2810001G20Rik,XLOC_003759,XLOC_003759,NR_033780,chr11:64079483-64083259,MockIFN,T1L-IFN,OK,17.4027,13.2465,-0.393695,-1.79292,0.0104,0.0253585,yes
2810002D19Rik,XLOC_015516,XLOC_015516,NR_027831,chr2:94406706-94411680,MockIFN,T1L-IFN,OK,5.35108,7.99768,0.579752,2.54051,0.00035,0.00125374,yes
2810013P06Rik,XLOC_028002,XLOC_028002,NR_045268,chr8:123042574-123044602,MockIFN,T1L-IFN,OK,9.91129,12.9003,0.380264,1.85632,0.00945,0.0233035,yes
2810021J22Rik,XLOC_003695,XLOC_003695,NM_172403,chr11:58847180-58884338,MockIFN,T1L-IFN,OK,0.0944075,0.354218,1.90766,3.26735,5.00E-05,0.00020697,yes
2810403D21Rik,XLOC_030909,XLOC_030909,NR_015493,chrX:108834477-108977920,MockIFN,T1L-IFN,OK,6.62759,10.8862,0.715945,2.88137,5.00E-05,0.00020697,yes
2810408I11Rik,XLOC_001196,XLOC_001196,NR_038009,chr1:64679868-64690659,MockIFN,T1L-IFN,OK,31.7606,13.722,-1.21075,-5.29181,5.00E-05,0.00020697,yes
2810410L24Rik,XLOC_005634,XLOC_005634,NR_030682,chr11:120186594-120189953,MockIFN,T1L-IFN,OK,3.98006,1.28569,-1.63025,-4.86158,5.00E-05,0.00020697,yes
2900009J06Rik,XLOC_001453,XLOC_001453,NR_045298,chr1:127729412-127774054,MockIFN,T1L-IFN,OK,1.69467,3.70077,1.12682,2.01797,0.0067,0.0171603,yes
2900026A02Rik,XLOC_022545,XLOC_022545,NM_172884,chr5:113086322-113163313,MockIFN,T1L-IFN,OK,0.341192,0.0636577,-2.42217,-3.97285,5.00E-05,0.00020697,yes
2900041M22Rik,XLOC_004427,XLOC_004427,NR_015489,chr11:117611246-117613489,MockIFN,T1L-IFN,OK,3.52386,6.14692,0.802705,3.17294,5.00E-05,0.00020697,yes
2900076A07Rik,XLOC_025239,XLOC_025239,NR_045299,chr7:81523549-81531498,MockIFN,T1L-IFN,OK,1.88311,3.84658,1.03046,2.76022,0.0003,0.00109165,yes
3000002C10Rik,XLOC_030396,XLOC_030396,NR_033215,chr9:109830153-109831431,MockIFN,T1L-IFN,OK,3.56663,1.36144,-1.38943,-4.32385,5.00E-05,0.00020697,yes
3010026O09Rik,XLOC_003596,XLOC_003596,NM_026543,chr11:50174850-50200115,MockIFN,T1L-IFN,OK,2.91829,4.9461,0.761168,2.81836,5.00E-05,0.00020697,yes
3110039I08Rik,XLOC_029078,XLOC_029078,NR_015483,chr9:41581338-41592487,MockIFN,T1L-IFN,OK,19.6344,7.08496,-1.47055,-6.34443,5.00E-05,0.00020697,yes
3110039M20Rik,XLOC_005862,XLOC_005862,NR_026733,chr12:49389651-49407346,MockIFN,T1L-IFN,OK,59.4626,47.3611,-0.328279,-1.65981,0.01835,0.0417855,yes
3930402G23Rik,XLOC_028112,XLOC_028112,NR_030715,chr8:10924426-10928457,MockIFN,T1L-IFN,OK,1.38224,0.81964,-0.753949,-2.56199,0.00065,0.00215753,yes
4632415L05Rik,XLOC_017521,XLOC_017521,NR_027985,chr3:19894870-19901145,MockIFN,T1L-IFN,OK,5.76418,4.36506,-0.401115,-1.96067,0.0051,0.0134368,yes
4831440E17Rik,XLOC_021131,XLOC_021131,NR_030700,chr5:25499652-25504473,MockIFN,T1L-IFN,OK,1.12314,1.88452,0.746656,1.87543,0.01015,0.0248208,yes
4833417C18Rik,XLOC_004142,XLOC_004142,NR_045187,chr11:95858816-95914871,MockIFN,T1L-IFN,OK,6.24657,2.72799,-1.19523,-3.73095,5.00E-05,0.00020697,yes
4833418N02Rik,XLOC_013082,XLOC_013082,NR_015506,chr17:87274885-87282814,MockIFN,T1L-IFN,OK,3.65878,2.00429,-0.868268,-3.19239,5.00E-05,0.00020697,yes
4921524J17Rik,XLOC_028515,XLOC_028515,NM_025722,chr8:85408758-85432841,MockIFN,T1L-IFN,OK,7.86604,16.5214,1.07063,5.13687,5.00E-05,0.00020697,yes
4921531C22Rik,XLOC_016153,XLOC_016153,NR_033782,chr2:179976796-179980627,MockIFN,T1L-IFN,OK,3.17347,2.02409,-0.648789,-2.52795,0.0004,0.00141085,yes
4921536K21Rik,XLOC_004523,XLOC_004523,NM_026150,chr11:3886087-3901300,MockIFN,T1L-IFN,OK,0.920637,1.82016,0.983364,2.00811,0.01175,0.0282988,yes
4930402H24Rik,XLOC_017082,XLOC_017082,NM_029432,chr2:130706197-130840162,MockIFN,T1L-IFN,OK,4.34164,12.0677,1.47483,7.36939,5.00E-05,0.00020697,yes
4930404N11Rik,XLOC_002342,XLOC_002342,NM_001014836,chr10:81357569-81366225,MockIFN,T1L-IFN,OK,18.0461,8.88983,-1.02146,-3.45581,5.00E-05,0.00020697,yes
4930427A07Rik,XLOC_006306,XLOC_006306,NM_134041,chr12:113156201-113165458,MockIFN,T1L-IFN,OK,14.4202,9.79653,-0.557747,-1.96496,0.0063,0.016249,yes
4930431F12Rik,XLOC_022224,XLOC_022224,NR_073013,chr5:44917771-45295385,MockIFN,T1L-IFN,OK,11.1216,19.3319,0.797621,2.16079,0.0021,0.00629005,yes
4930447K03Rik,XLOC_007033,XLOC_007033,NR_046184,chr13:34084154-34114637,MockIFN,T1L-IFN,OK,0.112092,0.343465,1.61547,1.94256,0.02205,0.0486283,yes
4930459C07Rik,XLOC_002444,XLOC_002444,NR_110448,chr10:96226206-96249189,MockIFN,T1L-IFN,OK,0.554258,0.228503,-1.27834,-1.71466,0.01825,0.0415906,yes
4930461G14Rik,XLOC_029265,XLOC_029265,NR_040736,chr9:58448405-58476796,MockIFN,T1L-IFN,OK,25.6178,52.3926,1.03222,4.98207,5.00E-05,0.00020697,yes
4930467D21Rik,XLOC_021493,XLOC_021493,NR_045981,chr5:97382208-97645998,MockIFN,T1L-IFN,OK,1.77579,5.14515,1.53476,4.42097,5.00E-05,0.00020697,yes
4930470H14Rik,XLOC_012308,XLOC_012308,NR_045764,chr17:4044657-4082995,MockIFN,T1L-IFN,OK,2.56584,5.67991,1.14644,4.52671,5.00E-05,0.00020697,yes
4930503L19Rik,XLOC_013813,XLOC_013813,NM_172967,chr18:70452214-70501065,MockIFN,T1L-IFN,OK,12.6083,26.9738,1.09718,5.0965,5.00E-05,0.00020697,yes
4930523C07Rik,XLOC_000691,XLOC_000691,NM_001162896,chr1:160044363-160078586,MockIFN,T1L-IFN,OK,2.7571,4.15781,0.592673,2.50295,0.00035,0.00125374,yes
4930542C21Rik,XLOC_011270,XLOC_011270,NR_040565,chr16:38017322-38067731,MockIFN,T1L-IFN,OK,0,0.430572,inf,#NAME?,0.0002,0.000754234,yes
4930543E12Rik,XLOC_026955,XLOC_026955,NR_045978,chr7:113100235-113189129,MockIFN,T1L-IFN,OK,0.198472,1.38853,2.80655,2.70226,0.005,0.0132008,yes
4930558C23Rik,XLOC_018704,XLOC_018704,NR_015490,chr3:95385520-95405838,MockIFN,T1L-IFN,OK,3.91966,1.81232,-1.11289,-2.94943,5.00E-05,0.00020697,yes
4930558J18Rik,XLOC_001143,XLOC_001143,NR_037999,chr1:57358487-57377558,MockIFN,T1L-IFN,OK,1.03304,2.15129,1.0583,3.28736,5.00E-05,0.00020697,yes
4930564D02Rik,XLOC_018045,XLOC_018045,NM_029228,chr3:105057957-105134875,MockIFN,T1L-IFN,OK,8.92522,19.9419,1.15984,3.96935,5.00E-05,0.00020697,yes
4930579G24Rik,XLOC_017726,XLOC_017726,NM_029482,chr3:79629034-79632819,MockIFN,T1L-IFN,OK,15.5502,8.14958,-0.932137,-4.46371,5.00E-05,0.00020697,yes
4931406P16Rik,XLOC_026301,XLOC_026301,NM_172741,chr7:34236709-34313557,MockIFN,T1L-IFN,OK,13.1827,16.8447,0.353643,1.83903,0.009,0.0223299,yes
4931414P19Rik,XLOC_008942,XLOC_008942,NM_028890,chr14:54583661-54605918,MockIFN,T1L-IFN,OK,4.08817,1.39781,-1.54829,-6.09321,5.00E-05,0.00020697,yes
4932415M13Rik,XLOC_012130,XLOC_012130,NR_073205,chr17:53716464-53733843,MockIFN,T1L-IFN,OK,4.63359,10.2793,1.14954,4.0481,5.00E-05,0.00020697,yes
4932438A13Rik,XLOC_017583,XLOC_017583,NM_172679,chr3:36862117-37053033,MockIFN,T1L-IFN,OK,7.17755,5.44153,-0.399478,-1.72853,0.0157,0.0363946,yes
4933404O12Rik,XLOC_021823,XLOC_021823,NR_015555,chr5:136919145-136937109,MockIFN,T1L-IFN,OK,12.3032,4.17774,-1.55824,-7.63569,5.00E-05,0.00020697,yes
4933406C10Rik,XLOC_006429,XLOC_006429,NR_044986,chr12:32919383-32953789,MockIFN,T1L-IFN,OK,0.143283,0.592436,2.04779,2.73994,0.00305,0.00870365,yes
4933407K13Rik,XLOC_031402,XLOC_031402,NR_029443,chrX:75725457-75764699,MockIFN,T1L-IFN,OK,0.384398,0.150269,-1.35505,-2.76578,0.00055,0.00186104,yes
4933412O06Rik,XLOC_007497,XLOC_007497,NR_045507,chr13:15780832-15806722,MockIFN,T1L-IFN,OK,0.276256,0.642747,1.21825,1.91122,0.0131,0.0311165,yes
4933421O10Rik,XLOC_020110,XLOC_020110,NR_036602,chr4:33023218-33056330,MockIFN,T1L-IFN,OK,2.20915,5.36621,1.28041,1.9146,0.0109,0.0264628,yes
4933425B07Rik,XLOC_008850,XLOC_008850,NR_046460,chr14:46602805-46637423,MockIFN,T1L-IFN,OK,1.63648,3.96011,1.27494,4.12058,5.00E-05,0.00020697,yes
4933427D14Rik,XLOC_004985,XLOC_004985,NM_028963,chr11:72154096-72203371,MockIFN,T1L-IFN,OK,4.38749,2.54345,-0.786607,-3.754,5.00E-05,0.00020697,yes
4933430H16Rik,XLOC_026644,XLOC_026644,NR_045855,chr7:82937937-82971415,MockIFN,T1L-IFN,OK,0.420489,1.27016,1.59487,2.58276,0.0014,0.00434994,yes
4933432K03Rik,XLOC_027014,XLOC_027014,NR_102286,chr7:121587385-121589836,MockIFN,T1L-IFN,OK,0,0.209327,inf,#NAME?,0.00675,0.0172687,yes
4933433H22Rik,XLOC_012258,XLOC_012258,NR_045458,chr17:84070553-84089884,MockIFN,T1L-IFN,OK,8.45067,6.04688,-0.482875,-1.93428,0.0062,0.0160279,yes
5031425F14Rik,XLOC_016059,XLOC_016059,NR_015558,chr2:166447450-166458770,MockIFN,T1L-IFN,OK,35.933,51.3975,0.516391,2.52034,0.0004,0.00141085,yes
5031439G07Rik,XLOC_010315,XLOC_010315,NM_001033273,chr15:84943938-84988032,MockIFN,T1L-IFN,OK,25.0827,18.7598,-0.419046,-2.13941,0.00265,0.00771238,yes
5430403N17Rik,XLOC_028262,XLOC_028262,NR_046181,chr8:35849190-35882957,MockIFN,T1L-IFN,OK,0.325786,0.754279,1.21117,2.8643,0.00035,0.00125374,yes
